date,demand,event_name_1,event_type_1,has_event,promotional_event,holiday_event,snap_CA,snap_TX,snap_WI,weekday,wm_yr_wk,month,year,sell_price
2011-04-12,6,,,0,0,0,0,1,1,Tuesday,11111,4,2011,0.42
2011-04-13,18,,,0,0,0,0,1,0,Wednesday,11111,4,2011,0.42
2011-04-14,36,,,0,0,0,0,0,1,Thursday,11111,4,2011,0.42
2011-04-15,0,,,0,0,0,0,1,1,Friday,11111,4,2011,0.42
2011-04-16,8,,,0,0,0,0,0,0,Saturday,11112,4,2011,0.42
2011-04-17,12,,,0,0,0,0,0,0,Sunday,11112,4,2011,0.42
2011-04-18,44,,,0,0,0,0,0,0,Monday,11112,4,2011,0.42
2011-04-19,0,,,0,0,0,0,0,0,Tuesday,11112,4,2011,0.42
2011-04-20,0,,,0,0,0,0,0,0,Wednesday,11112,4,2011,0.42
2011-04-21,0,,,0,0,0,0,0,0,Thursday,11112,4,2011,0.42
2011-04-22,0,,,0,0,0,0,0,0,Friday,11112,4,2011,0.42
2011-04-23,14,,,0,0,0,0,0,0,Saturday,11113,4,2011,0.5
2011-04-24,12,OrthodoxEaster,Religious,1,1,0,0,0,0,Sunday,11113,4,2011,0.5
2011-04-25,15,,,0,0,0,0,0,0,Monday,11113,4,2011,0.5
2011-04-26,15,Pesach End,Religious,1,1,0,0,0,0,Tuesday,11113,4,2011,0.5
2011-04-27,14,,,0,0,0,0,0,0,Wednesday,11113,4,2011,0.5
2011-04-28,8,,,0,0,0,0,0,0,Thursday,11113,4,2011,0.5
2011-04-29,4,,,0,0,0,0,0,0,Friday,11113,4,2011,0.5
2011-04-30,13,,,0,0,0,0,0,0,Saturday,11114,4,2011,0.5
2011-05-01,36,,,0,0,0,1,1,0,Sunday,11114,5,2011,0.5
2011-05-02,7,,,0,0,0,1,0,1,Monday,11114,5,2011,0.5
2011-05-03,0,,,0,0,0,1,1,1,Tuesday,11114,5,2011,0.5
2011-05-04,5,,,0,0,0,1,0,0,Wednesday,11114,5,2011,0.5
2011-05-05,12,Cinco De Mayo,Cultural,1,1,1,1,1,1,Thursday,11114,5,2011,0.5
2011-05-06,11,,,0,0,0,1,1,1,Friday,11114,5,2011,0.5
2011-05-07,6,,,0,0,0,1,1,0,Saturday,11115,5,2011,0.5
2011-05-08,7,Mother's day,Cultural,1,1,1,1,0,1,Sunday,11115,5,2011,0.5
2011-05-09,9,,,0,0,0,1,1,1,Monday,11115,5,2011,0.5
2011-05-10,31,,,0,0,0,1,0,0,Tuesday,11115,5,2011,0.5
2011-05-11,1,,,0,0,0,0,1,1,Wednesday,11115,5,2011,0.5
2011-05-12,0,,,0,0,0,0,1,1,Thursday,11115,5,2011,0.5
2011-05-13,3,,,0,0,0,0,1,0,Friday,11115,5,2011,0.5
2011-05-14,4,,,0,0,0,0,0,1,Saturday,11116,5,2011,0.5
2011-05-15,24,,,0,0,0,0,1,1,Sunday,11116,5,2011,0.5
2011-05-16,14,,,0,0,0,0,0,0,Monday,11116,5,2011,0.5
2011-05-17,2,,,0,0,0,0,0,0,Tuesday,11116,5,2011,0.5
2011-05-18,5,,,0,0,0,0,0,0,Wednesday,11116,5,2011,0.5
2011-05-19,4,,,0,0,0,0,0,0,Thursday,11116,5,2011,0.5
2011-05-20,12,,,0,0,0,0,0,0,Friday,11116,5,2011,0.5
2011-05-21,25,,,0,0,0,0,0,0,Saturday,11117,5,2011,0.5
2011-05-22,4,,,0,0,0,0,0,0,Sunday,11117,5,2011,0.5
2011-05-23,15,,,0,0,0,0,0,0,Monday,11117,5,2011,0.5
2011-05-24,6,,,0,0,0,0,0,0,Tuesday,11117,5,2011,0.5
2011-05-25,6,,,0,0,0,0,0,0,Wednesday,11117,5,2011,0.5
2011-05-26,5,,,0,0,0,0,0,0,Thursday,11117,5,2011,0.5
2011-05-27,24,,,0,0,0,0,0,0,Friday,11117,5,2011,0.5
2011-05-28,27,,,0,0,0,0,0,0,Saturday,11118,5,2011,0.5
2011-05-29,4,,,0,0,0,0,0,0,Sunday,11118,5,2011,0.5
2011-05-30,10,MemorialDay,National,1,1,0,0,0,0,Monday,11118,5,2011,0.5
2011-05-31,4,NBAFinalsStart,Sporting,1,1,0,0,0,0,Tuesday,11118,5,2011,0.5
2011-06-01,0,,,0,0,0,1,1,0,Wednesday,11118,6,2011,0.5
2011-06-02,11,,,0,0,0,1,0,1,Thursday,11118,6,2011,0.5
2011-06-03,27,,,0,0,0,1,1,1,Friday,11118,6,2011,0.5
2011-06-04,15,,,0,0,0,1,0,0,Saturday,11119,6,2011,0.5
2011-06-05,0,,,0,0,0,1,1,1,Sunday,11119,6,2011,0.5
2011-06-06,2,,,0,0,0,1,1,1,Monday,11119,6,2011,0.5
2011-06-07,3,,,0,0,0,1,1,0,Tuesday,11119,6,2011,0.5
2011-06-08,8,,,0,0,0,1,0,1,Wednesday,11119,6,2011,0.5
2011-06-09,1,,,0,0,0,1,1,1,Thursday,11119,6,2011,0.5
2011-06-10,6,,,0,0,0,1,0,0,Friday,11119,6,2011,0.5
2011-06-11,40,,,0,0,0,0,1,1,Saturday,11120,6,2011,0.5
2011-06-12,4,NBAFinalsEnd,Sporting,1,1,0,0,1,1,Sunday,11120,6,2011,0.5
2011-06-13,0,,,0,0,0,0,1,0,Monday,11120,6,2011,0.5
2011-06-14,30,,,0,0,0,0,0,1,Tuesday,11120,6,2011,0.5
2011-06-15,3,,,0,0,0,0,1,1,Wednesday,11120,6,2011,0.5
2011-06-16,5,,,0,0,0,0,0,0,Thursday,11120,6,2011,0.5
2011-06-17,9,,,0,0,0,0,0,0,Friday,11120,6,2011,0.5
2011-06-18,14,,,0,0,0,0,0,0,Saturday,11121,6,2011,0.5
2011-06-19,5,Father's day,Cultural,1,1,1,0,0,0,Sunday,11121,6,2011,0.5
2011-06-20,12,,,0,0,0,0,0,0,Monday,11121,6,2011,0.5
2011-06-21,6,,,0,0,0,0,0,0,Tuesday,11121,6,2011,0.5
2011-06-22,9,,,0,0,0,0,0,0,Wednesday,11121,6,2011,0.5
2011-06-23,6,,,0,0,0,0,0,0,Thursday,11121,6,2011,0.5
2011-06-24,3,,,0,0,0,0,0,0,Friday,11121,6,2011,0.5
2011-06-25,7,,,0,0,0,0,0,0,Saturday,11122,6,2011,0.5
2011-06-26,12,,,0,0,0,0,0,0,Sunday,11122,6,2011,0.5
2011-06-27,19,,,0,0,0,0,0,0,Monday,11122,6,2011,0.5
2011-06-28,15,,,0,0,0,0,0,0,Tuesday,11122,6,2011,0.5
2011-06-29,5,,,0,0,0,0,0,0,Wednesday,11122,6,2011,0.5
2011-06-30,2,,,0,0,0,0,0,0,Thursday,11122,6,2011,0.5
2011-07-01,15,,,0,0,0,1,1,0,Friday,11122,7,2011,0.5
2011-07-02,18,,,0,0,0,1,0,1,Saturday,11123,7,2011,0.5
2011-07-03,7,,,0,0,0,1,1,1,Sunday,11123,7,2011,0.5
2011-07-04,2,IndependenceDay,National,1,1,0,1,0,0,Monday,11123,7,2011,0.5
2011-07-05,4,,,0,0,0,1,1,1,Tuesday,11123,7,2011,0.5
2011-07-06,10,,,0,0,0,1,1,1,Wednesday,11123,7,2011,0.5
2011-07-07,10,,,0,0,0,1,1,0,Thursday,11123,7,2011,0.5
2011-07-08,0,,,0,0,0,1,0,1,Friday,11123,7,2011,0.5
2011-07-09,25,,,0,0,0,1,1,1,Saturday,11124,7,2011,0.5
2011-07-10,17,,,0,0,0,1,0,0,Sunday,11124,7,2011,0.5
2011-07-11,0,,,0,0,0,0,1,1,Monday,11124,7,2011,0.5
2011-07-12,4,,,0,0,0,0,1,1,Tuesday,11124,7,2011,0.5
2011-07-13,4,,,0,0,0,0,1,0,Wednesday,11124,7,2011,0.5
2011-07-14,10,,,0,0,0,0,0,1,Thursday,11124,7,2011,0.5
2011-07-15,4,,,0,0,0,0,1,1,Friday,11124,7,2011,0.5
2011-07-16,6,,,0,0,0,0,0,0,Saturday,11125,7,2011,0.5
2011-07-17,33,,,0,0,0,0,0,0,Sunday,11125,7,2011,0.5
2011-07-18,7,,,0,0,0,0,0,0,Monday,11125,7,2011,0.5
2011-07-19,5,,,0,0,0,0,0,0,Tuesday,11125,7,2011,0.5
2011-07-20,11,,,0,0,0,0,0,0,Wednesday,11125,7,2011,0.5
2011-07-21,14,,,0,0,0,0,0,0,Thursday,11125,7,2011,0.5
2011-07-22,15,,,0,0,0,0,0,0,Friday,11125,7,2011,0.5
2011-07-23,15,,,0,0,0,0,0,0,Saturday,11126,7,2011,0.5
2011-07-24,14,,,0,0,0,0,0,0,Sunday,11126,7,2011,0.5
2011-07-25,10,,,0,0,0,0,0,0,Monday,11126,7,2011,0.5
2011-07-26,2,,,0,0,0,0,0,0,Tuesday,11126,7,2011,0.5
2011-07-27,42,,,0,0,0,0,0,0,Wednesday,11126,7,2011,0.5
2011-07-28,10,,,0,0,0,0,0,0,Thursday,11126,7,2011,0.5
2011-07-29,2,,,0,0,0,0,0,0,Friday,11126,7,2011,0.5
2011-07-30,14,,,0,0,0,0,0,0,Saturday,11127,7,2011,0.5
2011-07-31,8,,,0,0,0,0,0,0,Sunday,11127,7,2011,0.5
2011-08-01,7,Ramadan starts,Religious,1,1,0,1,1,0,Monday,11127,8,2011,0.5
2011-08-02,3,,,0,0,0,1,0,1,Tuesday,11127,8,2011,0.5
2011-08-03,25,,,0,0,0,1,1,1,Wednesday,11127,8,2011,0.5
2011-08-04,7,,,0,0,0,1,0,0,Thursday,11127,8,2011,0.5
2011-08-05,21,,,0,0,0,1,1,1,Friday,11127,8,2011,0.5
2011-08-06,22,,,0,0,0,1,1,1,Saturday,11128,8,2011,0.5
2011-08-07,16,,,0,0,0,1,1,0,Sunday,11128,8,2011,0.5
2011-08-08,5,,,0,0,0,1,0,1,Monday,11128,8,2011,0.5
2011-08-09,11,,,0,0,0,1,1,1,Tuesday,11128,8,2011,0.5
2011-08-10,5,,,0,0,0,1,0,0,Wednesday,11128,8,2011,0.5
2011-08-11,5,,,0,0,0,0,1,1,Thursday,11128,8,2011,0.5
2011-08-12,15,,,0,0,0,0,1,1,Friday,11128,8,2011,0.5
2011-08-13,22,,,0,0,0,0,1,0,Saturday,11129,8,2011,0.5
2011-08-14,38,,,0,0,0,0,0,1,Sunday,11129,8,2011,0.5
2011-08-15,13,,,0,0,0,0,1,1,Monday,11129,8,2011,0.5
2011-08-16,0,,,0,0,0,0,0,0,Tuesday,11129,8,2011,0.5
2011-08-17,8,,,0,0,0,0,0,0,Wednesday,11129,8,2011,0.5
2011-08-18,10,,,0,0,0,0,0,0,Thursday,11129,8,2011,0.5
2011-08-19,77,,,0,0,0,0,0,0,Friday,11129,8,2011,0.5
2011-08-20,19,,,0,0,0,0,0,0,Saturday,11130,8,2011,0.5
2011-08-21,7,,,0,0,0,0,0,0,Sunday,11130,8,2011,0.5
2011-08-22,25,,,0,0,0,0,0,0,Monday,11130,8,2011,0.5
2011-08-23,4,,,0,0,0,0,0,0,Tuesday,11130,8,2011,0.5
2011-08-24,14,,,0,0,0,0,0,0,Wednesday,11130,8,2011,0.5
2011-08-25,14,,,0,0,0,0,0,0,Thursday,11130,8,2011,0.5
2011-08-26,0,,,0,0,0,0,0,0,Friday,11130,8,2011,0.5
2011-08-27,12,,,0,0,0,0,0,0,Saturday,11131,8,2011,0.5
2011-08-28,8,,,0,0,0,0,0,0,Sunday,11131,8,2011,0.5
2011-08-29,14,,,0,0,0,0,0,0,Monday,11131,8,2011,0.5
2011-08-30,8,,,0,0,0,0,0,0,Tuesday,11131,8,2011,0.5
2011-08-31,2,Eid al-Fitr,Religious,1,1,0,0,0,0,Wednesday,11131,8,2011,0.5
2011-09-01,8,,,0,0,0,1,1,0,Thursday,11131,9,2011,0.5
2011-09-02,20,,,0,0,0,1,0,1,Friday,11131,9,2011,0.5
2011-09-03,49,,,0,0,0,1,1,1,Saturday,11132,9,2011,0.5
2011-09-04,0,,,0,0,0,1,0,0,Sunday,11132,9,2011,0.5
2011-09-05,26,LaborDay,National,1,1,0,1,1,1,Monday,11132,9,2011,0.5
2011-09-06,9,,,0,0,0,1,1,1,Tuesday,11132,9,2011,0.5
2011-09-07,5,,,0,0,0,1,1,0,Wednesday,11132,9,2011,0.5
2011-09-08,16,,,0,0,0,1,0,1,Thursday,11132,9,2011,0.5
2011-09-09,17,,,0,0,0,1,1,1,Friday,11132,9,2011,0.5
2011-09-10,18,,,0,0,0,1,0,0,Saturday,11133,9,2011,0.5
2011-09-11,0,,,0,0,0,0,1,1,Sunday,11133,9,2011,0.5
2011-09-12,19,,,0,0,0,0,1,1,Monday,11133,9,2011,0.5
2011-09-13,17,,,0,0,0,0,1,0,Tuesday,11133,9,2011,0.5
2011-09-14,1,,,0,0,0,0,0,1,Wednesday,11133,9,2011,0.5
2011-09-15,5,,,0,0,0,0,1,1,Thursday,11133,9,2011,0.5
2011-09-16,10,,,0,0,0,0,0,0,Friday,11133,9,2011,0.5
2011-09-17,12,,,0,0,0,0,0,0,Saturday,11134,9,2011,0.5
2011-09-18,22,,,0,0,0,0,0,0,Sunday,11134,9,2011,0.5
2011-09-19,5,,,0,0,0,0,0,0,Monday,11134,9,2011,0.5
2011-09-20,9,,,0,0,0,0,0,0,Tuesday,11134,9,2011,0.5
2011-09-21,11,,,0,0,0,0,0,0,Wednesday,11134,9,2011,0.5
2011-09-22,23,,,0,0,0,0,0,0,Thursday,11134,9,2011,0.5
2011-09-23,25,,,0,0,0,0,0,0,Friday,11134,9,2011,0.5
2011-09-24,17,,,0,0,0,0,0,0,Saturday,11135,9,2011,0.5
2011-09-25,10,,,0,0,0,0,0,0,Sunday,11135,9,2011,0.5
2011-09-26,10,,,0,0,0,0,0,0,Monday,11135,9,2011,0.5
2011-09-27,5,,,0,0,0,0,0,0,Tuesday,11135,9,2011,0.5
2011-09-28,6,,,0,0,0,0,0,0,Wednesday,11135,9,2011,0.5
2011-09-29,17,,,0,0,0,0,0,0,Thursday,11135,9,2011,0.5
2011-09-30,8,,,0,0,0,0,0,0,Friday,11135,9,2011,0.5
2011-10-01,29,,,0,0,0,1,1,0,Saturday,11136,10,2011,0.5
2011-10-02,21,,,0,0,0,1,0,1,Sunday,11136,10,2011,0.5
2011-10-03,3,,,0,0,0,1,1,1,Monday,11136,10,2011,0.5
2011-10-04,21,,,0,0,0,1,0,0,Tuesday,11136,10,2011,0.5
2011-10-05,7,,,0,0,0,1,1,1,Wednesday,11136,10,2011,0.5
2011-10-06,4,,,0,0,0,1,1,1,Thursday,11136,10,2011,0.5
2011-10-07,3,,,0,0,0,1,1,0,Friday,11136,10,2011,0.5
2011-10-08,47,,,0,0,0,1,0,1,Saturday,11137,10,2011,0.5
2011-10-09,8,,,0,0,0,1,1,1,Sunday,11137,10,2011,0.5
2011-10-10,1,ColumbusDay,National,1,1,0,1,0,0,Monday,11137,10,2011,0.5
2011-10-11,21,,,0,0,0,0,1,1,Tuesday,11137,10,2011,0.5
2011-10-12,5,,,0,0,0,0,1,1,Wednesday,11137,10,2011,0.5
2011-10-13,29,,,0,0,0,0,1,0,Thursday,11137,10,2011,0.5
2011-10-14,27,,,0,0,0,0,0,1,Friday,11137,10,2011,0.5
2011-10-15,8,,,0,0,0,0,1,1,Saturday,11138,10,2011,0.5
2011-10-16,3,,,0,0,0,0,0,0,Sunday,11138,10,2011,0.5
2011-10-17,5,,,0,0,0,0,0,0,Monday,11138,10,2011,0.5
2011-10-18,6,,,0,0,0,0,0,0,Tuesday,11138,10,2011,0.5
2011-10-19,3,,,0,0,0,0,0,0,Wednesday,11138,10,2011,0.5
2011-10-20,8,,,0,0,0,0,0,0,Thursday,11138,10,2011,0.5
2011-10-21,22,,,0,0,0,0,0,0,Friday,11138,10,2011,0.5
2011-10-22,21,,,0,0,0,0,0,0,Saturday,11139,10,2011,0.5
2011-10-23,12,,,0,0,0,0,0,0,Sunday,11139,10,2011,0.5
2011-10-24,4,,,0,0,0,0,0,0,Monday,11139,10,2011,0.5
2011-10-25,8,,,0,0,0,0,0,0,Tuesday,11139,10,2011,0.5
2011-10-26,7,,,0,0,0,0,0,0,Wednesday,11139,10,2011,0.5
2011-10-27,7,,,0,0,0,0,0,0,Thursday,11139,10,2011,0.5
2011-10-28,19,,,0,0,0,0,0,0,Friday,11139,10,2011,0.5
2011-10-29,0,,,0,0,0,0,0,0,Saturday,11140,10,2011,0.5
2011-10-30,6,,,0,0,0,0,0,0,Sunday,11140,10,2011,0.5
2011-10-31,17,Halloween,Cultural,1,1,1,0,0,0,Monday,11140,10,2011,0.5
2011-11-01,38,,,0,0,0,1,1,0,Tuesday,11140,11,2011,0.5
2011-11-02,9,,,0,0,0,1,0,1,Wednesday,11140,11,2011,0.5
2011-11-03,11,,,0,0,0,1,1,1,Thursday,11140,11,2011,0.5
2011-11-04,20,,,0,0,0,1,0,0,Friday,11140,11,2011,0.5
2011-11-05,0,,,0,0,0,1,1,1,Saturday,11141,11,2011,0.5
2011-11-06,16,,,0,0,0,1,1,1,Sunday,11141,11,2011,0.5
2011-11-07,7,EidAlAdha,Religious,1,1,0,1,1,0,Monday,11141,11,2011,0.5
2011-11-08,10,,,0,0,0,1,0,1,Tuesday,11141,11,2011,0.5
2011-11-09,6,,,0,0,0,1,1,1,Wednesday,11141,11,2011,0.5
2011-11-10,13,,,0,0,0,1,0,0,Thursday,11141,11,2011,0.5
2011-11-11,11,VeteransDay,National,1,1,0,0,1,1,Friday,11141,11,2011,0.5
2011-11-12,40,,,0,0,0,0,1,1,Saturday,11142,11,2011,0.5
2011-11-13,4,,,0,0,0,0,1,0,Sunday,11142,11,2011,0.5
2011-11-14,10,,,0,0,0,0,0,1,Monday,11142,11,2011,0.5
2011-11-15,14,,,0,0,0,0,1,1,Tuesday,11142,11,2011,0.5
2011-11-16,5,,,0,0,0,0,0,0,Wednesday,11142,11,2011,0.5
2011-11-17,8,,,0,0,0,0,0,0,Thursday,11142,11,2011,0.5
2011-11-18,19,,,0,0,0,0,0,0,Friday,11142,11,2011,0.5
2011-11-19,37,,,0,0,0,0,0,0,Saturday,11143,11,2011,0.5
2011-11-20,17,,,0,0,0,0,0,0,Sunday,11143,11,2011,0.5
2011-11-21,5,,,0,0,0,0,0,0,Monday,11143,11,2011,0.5
2011-11-22,8,,,0,0,0,0,0,0,Tuesday,11143,11,2011,0.5
2011-11-23,12,,,0,0,0,0,0,0,Wednesday,11143,11,2011,0.5
2011-11-24,4,Thanksgiving,National,1,1,0,0,0,0,Thursday,11143,11,2011,0.5
2011-11-25,39,,,0,0,0,0,0,0,Friday,11143,11,2011,0.5
2011-11-26,11,,,0,0,0,0,0,0,Saturday,11144,11,2011,0.5
2011-11-27,3,,,0,0,0,0,0,0,Sunday,11144,11,2011,0.5
2011-11-28,14,,,0,0,0,0,0,0,Monday,11144,11,2011,0.5
2011-11-29,13,,,0,0,0,0,0,0,Tuesday,11144,11,2011,0.5
2011-11-30,8,,,0,0,0,0,0,0,Wednesday,11144,11,2011,0.5
2011-12-01,17,,,0,0,0,1,1,0,Thursday,11144,12,2011,0.5
2011-12-02,22,,,0,0,0,1,0,1,Friday,11144,12,2011,0.5
2011-12-03,26,,,0,0,0,1,1,1,Saturday,11145,12,2011,0.5
2011-12-04,8,,,0,0,0,1,0,0,Sunday,11145,12,2011,0.5
2011-12-05,52,,,0,0,0,1,1,1,Monday,11145,12,2011,0.5
2011-12-06,8,,,0,0,0,1,1,1,Tuesday,11145,12,2011,0.5
2011-12-07,6,,,0,0,0,1,1,0,Wednesday,11145,12,2011,0.5
2011-12-08,7,,,0,0,0,1,0,1,Thursday,11145,12,2011,0.5
2011-12-09,11,,,0,0,0,1,1,1,Friday,11145,12,2011,0.5
2011-12-10,6,,,0,0,0,1,0,0,Saturday,11146,12,2011,0.5
2011-12-11,32,,,0,0,0,0,1,1,Sunday,11146,12,2011,0.5
2011-12-12,2,,,0,0,0,0,1,1,Monday,11146,12,2011,0.5
2011-12-13,11,,,0,0,0,0,1,0,Tuesday,11146,12,2011,0.5
2011-12-14,14,,,0,0,0,0,0,1,Wednesday,11146,12,2011,0.5
2011-12-15,2,,,0,0,0,0,1,1,Thursday,11146,12,2011,0.5
2011-12-16,20,,,0,0,0,0,0,0,Friday,11146,12,2011,0.5
2011-12-17,14,,,0,0,0,0,0,0,Saturday,11147,12,2011,0.5
2011-12-18,1,,,0,0,0,0,0,0,Sunday,11147,12,2011,0.5
2011-12-19,16,,,0,0,0,0,0,0,Monday,11147,12,2011,0.5
2011-12-20,31,,,0,0,0,0,0,0,Tuesday,11147,12,2011,0.5
2011-12-21,8,,,0,0,0,0,0,0,Wednesday,11147,12,2011,0.5
2011-12-22,17,,,0,0,0,0,0,0,Thursday,11147,12,2011,0.5
2011-12-23,24,,,0,0,0,0,0,0,Friday,11147,12,2011,0.5
2011-12-24,7,,,0,0,0,0,0,0,Saturday,11148,12,2011,0.5
2011-12-25,0,Christmas,National,1,1,0,0,0,0,Sunday,11148,12,2011,0.5
2011-12-26,0,,,0,0,0,0,0,0,Monday,11148,12,2011,0.5
2011-12-27,23,,,0,0,0,0,0,0,Tuesday,11148,12,2011,0.5
2011-12-28,35,Chanukah End,Religious,1,1,0,0,0,0,Wednesday,11148,12,2011,0.5
2011-12-29,12,,,0,0,0,0,0,0,Thursday,11148,12,2011,0.5
2011-12-30,20,,,0,0,0,0,0,0,Friday,11148,12,2011,0.5
2011-12-31,10,,,0,0,0,0,0,0,Saturday,11149,12,2011,0.5
2012-01-01,1,NewYear,National,1,1,0,1,1,0,Sunday,11149,1,2012,0.5
2012-01-02,5,,,0,0,0,1,0,1,Monday,11149,1,2012,0.5
2012-01-03,36,,,0,0,0,1,1,1,Tuesday,11149,1,2012,0.5
